date,ili_rate
2005-01-02,2.0237952124151173
2005-01-09,1.4611739468233034
2005-01-16,1.6514549016742766
2005-01-23,1.6867550650688228
2005-01-30,1.9302625397996769
2005-02-06,2.8098329824123205
2005-02-13,2.7870544707057916
2005-02-20,2.6320262363499825
2005-02-27,2.6659510863291422
2005-03-06,3.1681892464724117
2005-03-13,3.145471459508093
2005-03-20,3.4486728104017854
2005-03-27,3.4156604529102133
2005-04-03,3.6835470519334654
2005-04-10,3.0056710637402495
2005-04-17,3.8962370108055246
2005-04-24,11.465805356566158
2005-05-01,10.710174524510752
2005-05-08,10.166132599253642
2005-05-15,10.247337931538308
2005-05-22,9.27966819142021
2005-05-29,1.8317639675093913
2005-06-05,2.5183469203723075
2005-06-12,1.7204534139037226
2005-06-19,1.1109548201700776
2005-06-26,1.002581130048342
2005-07-03,0.6033940513894045
2005-07-10,0.810183863108089
2005-07-17,0.6944530052946642
2005-07-24,0.5306192517925012
2005-07-31,0.5
2005-08-07,0.5
2005-08-14,0.5
2005-08-21,0.5
2005-08-28,0.5
2005-09-04,0.5
2005-09-11,0.5
2005-09-18,0.5
2005-09-25,0.5
2005-10-02,0.5
2005-10-09,0.5
2005-10-16,0.5
2005-10-23,0.5
2005-10-30,0.5
2005-11-06,0.5
2005-11-13,0.5
2005-11-20,0.5
2005-11-27,0.5
2005-12-04,1.2897843681326921
2005-12-11,0.5
2005-12-18,0.5
2005-12-25,0.7834035734627016
2006-01-01,0.5437297630875046
2006-01-08,1.8317073315312955
2006-01-15,2.0752101783596046
2006-01-22,2.0117594088547284
2006-01-29,2.0678274448967024
2006-02-05,1.9440654521919942
2006-02-12,2.466167485245814
2006-02-19,3.2949645924923923
2006-02-26,3.100937342038794
2006-03-05,3.1733738299395955
2006-03-12,3.670740260179074
2006-03-19,4.025388563026711
2006-03-26,3.721517328989572
2006-04-02,3.764842591500349
2006-04-09,4.171693509253281
2006-04-16,3.640891369168453
2006-04-23,3.359279733590252
2006-04-30,3.630483848130316
2006-05-07,3.1045402119779766
2006-05-14,2.8760182385286592
2006-05-21,3.3213107888449773
2006-05-28,2.4595305311179647
2006-06-04,1.258026281137509
2006-06-11,2.1851472026484777
2006-06-18,8.262619134063593
2006-06-25,8.010362549460298
2006-07-02,8.007989159456526
2006-07-09,7.461187602297541
2006-07-16,7.318779075028439
2006-07-23,0.5
2006-07-30,0.5
2006-08-06,0.5
2006-08-13,0.5
2006-08-20,0.5
2006-08-27,0.5
2006-09-03,0.5
2006-09-10,0.5
2006-09-17,0.5
2006-09-24,0.5
2006-10-01,0.5
2006-10-08,0.5
2006-10-15,0.5
2006-10-22,0.5
2006-10-29,0.5
2006-11-05,0.5
2006-11-12,0.5
2006-11-19,0.5
2006-11-26,0.5
2006-12-03,0.5
2006-12-10,0.6387869054980222
2006-12-17,0.5
2006-12-24,1.4725854425497324
2006-12-31,1.7845420153994067
2007-01-07,2.082870932516354
2007-01-14,1.4727708012214256
2007-01-21,2.146147202387761
2007-01-28,2.1954509800088373
2007-02-04,3.0225819903785713
2007-02-11,3.575742744720431
2007-02-18,3.458145791762117
2007-02-25,3.300689595543563
